similarity,mean_exclusiveness,n_exclusive,n_clusters
1,1.0170870626525413e-6,2458,2458
1,1.058201058201032e-6,2457,2457
1,1.0993485342019238e-06,2456,2456
1,1.0997963340121893e-6,2455,2455
1,1.0391198044009766e-5,2454,2454
1,1.0395434162250293e-5,2453,2453
1,1.0399673735725924e-5,2452,2452
1,1.0403916768665838e-5,2451,2451
1,1.0408163265306108e-5,2450,2450
1,1.0412413229889737e-5,2449,2449
1,1.0702614379084967e-5,2448,2448
1,1.0706988148753576e-5,2447,2447
1,1.0752248569092392e-5,2446,2446
1,1.0756646216768912e-5,2445,2445
1,1.076104746317512e-5,2444,2444
1,1.3385182153090442e-5,2443,2443
1,1.339066339066337e-5,2442,2442
1,1.3396149119213417e-5,2441,2441
1,1.3852459016393417e-5,2440,2440
1,1.385813858138579e-5,2439,2439
1,1.3863822805578319e-5,2438,2438
1,1.3869511694706582e-5,2437,2437
1,1.4244663382594397e-5,2436,2436
1,1.4250513347022567e-5,2435,2435
1,1.4256368118323729e-5,2434,2434
1,1.4344430743937497e-5,2433,2433
1,1.4309210526315766e-5,2431,2432
1,1.4397367338543777e-5,2430,2431
1,1.4444444444444407e-5,2429,2430
1,1.4450391107451588e-5,2428,2429
1,1.4456342668863225e-5,2427,2428
1,2.0189534404614723e-5,2426,2427
1,2.2629843363561397e-5,2425,2426
1,2.2639175257731936e-5,2424,2425
1,2.264851485148513e-5,2423,2424
1,2.2740404457284327e-5,2422,2423
1,1.4744013212221303e-4,2421,2422
1,1.4750103263114415e-4,2420,2421
1,1.5293388429752066e-4,2419,2420
1,1.5746176105828856e-4,2418,2419
1,1.575268817204301e-4,2417,2418
1,1.5771617707902358e-4,2416,2417
1,1.577814569536424e-4,2415,2416
1,1.5784679089026913e-4,2414,2415
1,1.5791217895608946e-4,2413,2414
1,1.5810194778284291e-4,2412,2413
1,1.58167495854063e-4,2411,2412
1,1.583160514309415e-4,2410,2411
1,1.583817427385892e-4,2409,2410
1,1.5848899958488996e-4,2408,2409
1,1.6411960132890361e-4,2407,2408
1,2.8562525965932693e-4,2406,2407
1,2.8674147963424765e-4,2405,2406
1,2.8765072765072757e-4,2404,2405
1,2.877703826955074e-4,2403,2404
1,2.878901373283395e-4,2402,2403
1,3.372606161532056e-4,2401,2402
1,3.374427321949187e-4,2400,2401
1,3.3758333333333324e-4,2399,2400
1,3.4047519799916624e-4,2398,2399
1,3.407005838198498e-4,2397,2398
1,3.4084272006675004e-4,2396,2397
1,3.409849749582637e-4,2395,2396
1,4.3294363256784964e-4,2394,2395
1,4.331244778613199e-4,2393,2394
1,4.333054743000417e-4,2392,2393
1,4.5033444816053504e-4,2391,2392
1,4.505227938101212e-4,2390,2391
