genome,strain_name,name,species,fromtype,wgs,isolation_source
GCA_000219475.3,pf01,Lactobacillus johnsonii pf01 (firmicutes),Lactobacillus johnsonii,,,
GCA_000736295.3,Lbs2,Lactobacillus casei (firmicutes),Lactobacillus casei,,JPKN02,gut of person from Indian subcontinent
GCA_000736295.2,Lbs2,Lactobacillus casei (firmicutes),Lactobacillus casei,,JPKN02,gut of person from Indian subcontinent
GCA_000736295.1,Lbs2,Lactobacillus casei (firmicutes),Lactobacillus casei,,JPKN01,gut of person from Indian subcontinent
GCA_000708735.1,VKMV-2020D,Lactobacillus acidophilus (firmicutes),Lactobacillus acidophilus,,JHUG01,dairy products derived
GCA_000604145.1,WHE 92,Lactobacillus plantarum WHE 92 (firmicutes),Lactobacillus plantarum,,AWOY01,Munster cheese
GCA_000508505.1,NA,Leuconostoc sp. DORA_2 (firmicutes),Leuconostoc sp. DORA_2,,AZMB01,
GCA_000736295.4,Lbs2,Lactobacillus casei (firmicutes),Lactobacillus casei,,JPKN02,gut of person from Indian subcontinent
GCA_001044095.1,Lr032,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JUIN01,baby faeces
GCA_001044105.1,Lr044,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JUIM01,fermented dairy product
GCA_001044085.1,Lr053,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JUIJ01,unknown
GCA_001044005.1,Lr140,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JUIO01,fermented dairy product
GCA_001010255.1,38,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LBDE01,missing
GCA_000980425.1,NA,Lactobacillus sp. N15.MGS-260 (firmicutes),Lactobacillus sp. N15.MGS-260,,LARJ01,stool sample from 52 year old healthy male
GCA_000934805.1,CRL871,Lactobacillus delbrueckii subsp. bulgaricus (firmicutes),Lactobacillus delbrueckii,,JXRV01,yogurt
GCA_000807975.1,BSO 464,Lactobacillus brevis BSO 464 (firmicutes),Lactobacillus brevis,,,Brewery
GCA_000769695.1,UFRJ-M7.2.18,Oenococcus alcoholitolerans (firmicutes),Oenococcus alcoholitolerans,assembly from type material,AXCV01,bioethanol production
GCA_001657245.1,Lrh45,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JUIS01,fermented dairy product
GCA_001435055.1,DSM 14060,Lactobacillus coleohominis DSM 14060 (firmicutes),Lactobacillus coleohominis,assembly from type material,AZEW01,vagina
GCA_001188635.1,CNCM-I-3699-R,Lactobacillus farciminis (firmicutes),Lactobacillus farciminis,,,rumen
GCA_001063485.1,494_LGAS,Lactobacillus gasseri (firmicutes),Lactobacillus gasseri,,JVEX01,missing
GCA_001063295.1,389_LRHA,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JVJA01,missing
GCA_001046795.1,CNCM-I-3699-S,Lactobacillus farciminis (firmicutes),Lactobacillus farciminis,,,goat rumen
GCA_001045205.1,565,Oenococcus oeni (firmicutes),Oenococcus oeni,,LCTO01,Chilean wine process
GCA_001045185.1,49,Oenococcus oeni (firmicutes),Oenococcus oeni,,LCTN01,Chilean wine process
GCA_001045165.1,139,Oenococcus oeni (firmicutes),Oenococcus oeni,,LCTM01,Chilean wine process
GCA_001045115.1,399,Oenococcus oeni (firmicutes),Oenococcus oeni,,LCTP01,Chilean wine process
GCA_002017855.1,DSM 20072,Lactobacillus delbrueckii subsp. lactis DSM 20072 (firmicutes),Lactobacillus delbrueckii,,MRUN01,missing
GCA_001982435.1,AMC010,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,MSTC01,infant stools
GCA_001982425.1,AMC143,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,MSTB01,infant stools
GCA_001939445.1,AWRIB337,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMM01,Shiraz
GCA_001870005.1,AWRIB899,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPU01,Wine
GCA_001868705.1,JKY18,Pediococcus acidilactici (firmicutes),Pediococcus acidilactici,,MOAB01,pit mud of a Chinese flavour liquor-making factory
GCA_001868115.1,AWRIB127,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLB01,Red wine
GCA_001756765.1,HI24,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,MAGB01,curd
GCA_001746265.1,D75,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,MJGB01,intestine of a healthy child
GCA_001700485.1,OAB24-B,Lactobacillus crispatus (firmicutes),Lactobacillus crispatus,,MAMR01,Urine
GCA_002311195.1,NA,Lactobacillus johnsonii (firmicutes),Lactobacillus johnsonii,,DBZQ01,murine gut
GCA_002311145.1,NA,Lactobacillus johnsonii (firmicutes),Lactobacillus johnsonii,,DBZO01,murine gut
GCA_002300105.1,NA,Lactobacillus amylovorus (firmicutes),Lactobacillus amylovorus,,DBPI01,gut of vertebrate mammal
GCA_002299975.1,NA,Lactobacillaceae bacterium UBA639 (firmicutes),Lactobacillaceae bacterium UBA639,,DBOT01,gut of vertebrate mammal
GCA_002299755.1,NA,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,DBPH01,gut of vertebrate mammal
GCA_002299385.1,NA,Lactobacillus ruminis (firmicutes),Lactobacillus ruminis,,DBPG01,gut of vertebrate mammal
GCA_002079655.1,CCuG47825,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBEP01,
GCA_002072085.1,VRI-003,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,,Commercial probiotic culture lyophilized
GCA_002028365.1,KLDS1.0391,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,
GCA_002025085.1,WQ2,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,,traditional fermented milk
GCA_002389835.1,NA,Leuconostoc sp. UBA4400 (firmicutes),Leuconostoc sp. UBA4400,,DGRA01,metal/plastic
GCA_002387815.1,NA,Leuconostoc mesenteroides (firmicutes),Leuconostoc mesenteroides,,DGKW01,metal
GCA_002386625.1,NA,Leuconostoc lactis (firmicutes),Leuconostoc lactis,,DGJD01,metal
GCA_002386555.1,NA,Leuconostoc lactis (firmicutes),Leuconostoc lactis,,DGIY01,cloth
GCA_002358455.1,NA,Lactobacillus murinus (firmicutes),Lactobacillus murinus,,DEOW01,digestive tract (UBERON:0001555); intestine (UBERON:0000160)
GCA_002358385.1,NA,Lactobacillus murinus (firmicutes),Lactobacillus murinus,,DEOT01,digestive tract (UBERON:0001555); intestine (UBERON:0000160)
GCA_002316965.1,NA,Lactobacillus acetotolerans (firmicutes),Lactobacillus acetotolerans,,DCEM01,mud
GCA_002311795.1,NA,Lactobacillus johnsonii (firmicutes),Lactobacillus johnsonii,,DBZR01,murine gut
GCA_002311255.1,NA,Lactobacillus johnsonii (firmicutes),Lactobacillus johnsonii,,DBZT01,murine gut
GCA_002311225.1,NA,Lactobacillus johnsonii (firmicutes),Lactobacillus johnsonii,,DBZS01,murine gut
GCA_002400285.1,NA,Lactobacillus acetotolerans (firmicutes),Lactobacillus acetotolerans,,DHFH01,mud
GCA_002400095.1,NA,Lactobacillus acetotolerans (firmicutes),Lactobacillus acetotolerans,,DHEW01,mud
