genome,strain_name,name,species
GCA_003352825.1,NRRL B-442,Lactobacillus rhamnosus,Lactobacillus rhamnosus
GCF_000010005.1,JCM 1112,Lactobacillus reuteri,Lactobacillus reuteri
GCF_000016825.1,DSM 20016,Lactobacillus reuteri,Lactobacillus reuteri
GCF_000014445.1,ATCC 8293,Leuconostoc mesenteroides subsp. mesenteroides,Leuconostoc mesenteroides
GCF_000014425.1,ATCC 33323,Lactobacillus gasseri,Lactobacillus gasseri
GCF_000091765.1,ST1,Lactobacillus panis,Lactobacillus panis
GCF_000056065.1,ATCC 11842,Lactobacillus delbrueckii subsp. bulgaricus,Lactobacillus delbrueckii
GCF_000143745.1,ATCC 14917,Lactobacillus plantarum subsp. plantarum,Lactobacillus plantarum
GCF_000146325.1,DSM 20284,Pediococcus acidilactici,Pediococcus acidilactici
GCF_000092505.1,IMSNU 11154,Leuconostoc kimchii,Leuconostoc kimchii
GCF_000159355.1,ATCC 33200,Lactobacillus johnsonii,Lactobacillus johnsonii
GCF_000159315.1,ATCC 8290,Lactobacillus hilgardii,Lactobacillus hilgardii
GCF_000159215.1,ATCC 14931,Lactobacillus fermentum,Lactobacillus fermentum
GCF_000159495.1,ATCC 25302,Lactobacillus paracasei subsp. paracasei,Lactobacillus paracasei
GCF_000159435.1,ATCC 49540,Lactobacillus vaginalis,Lactobacillus vaginalis
GCF_000159415.1,DSM 16047,Lactobacillus ultunensis,Lactobacillus ultunensis
GCF_000159395.1,ATCC 11741,Lactobacillus salivarius,Lactobacillus salivarius
GCF_000160875.1,DSM 13335,Lactobacillus iners,Lactobacillus iners
GCF_000160855.1,DSM 20075,Lactobacillus helveticus,Lactobacillus helveticus
GCF_000160835.1,DSM 16041,Lactobacillus antri,Lactobacillus antri
GCF_000160595.1,ATCC 19254,Leuconostoc mesenteroides subsp. cremoris,Leuconostoc mesenteroides
GCF_000160575.1,ATCC 33313,Weissella paramesenteroides,Weissella paramesenteroides
