cluster,species,species_short
cluster 239,Lactobacillus rhamnosus,L. rhamnosus
cluster 199,Lactobacillus reuteri,L. reuteri
cluster 236,Leuconostoc mesenteroides,Leuc. mesenteroides
cluster 233,Lactobacillus gasseri,L. gasseri
cluster 230,Lactobacillus delbrueckii,L. delbrueckii
cluster 228,Lactobacillus plantarum,L. plantarum
cluster 218,Pediococcus acidilactici,P. acidilactici
cluster 6,Leuconostoc kimchii,Leuc. kimchii
cluster 182,Lactobacillus johnsonii,L. johnsonii
cluster 45,Lactobacillus hilgardii,L. hilgardii
cluster 229,Lactobacillus fermentum,L. fermentum
cluster 200,Lactobacillus paracasei,L. paracasei
cluster 201,Lactobacillus vaginalis,L. vaginalis
cluster 87,Lactobacillus ultunensis,L. ultunensis
cluster 204,Lactobacillus salivarius,L. salivarius
cluster 162,Lactobacillus iners,L. iners
cluster 191,Lactobacillus helveticus,L. helveticus
cluster 66,Lactobacillus antri,L. antri
cluster 148,Weissella paramesenteroides,W. paramesenteroides
cluster 225,Leuconostoc gelidum,Leuc. gelidum
cluster 5,Leuconostoc fallax,Leuc. fallax
cluster 152,Lactobacillus coryniformis,L. coryniformis
cluster 139,Lactobacillus amylolyticus,L. amylolyticus
cluster 153,Lactobacillus farciminis,L. farciminis
cluster 163,Lactobacillus animalis,L. animalis
cluster 179,Lactobacillus fructivorans,L. fructivorans
cluster 115,Fructobacillus fructosus,F. fructosus
cluster 131,Pediococcus claussenii,P. claussenii
cluster 65,Lactobacillus vini,L. vini
cluster 133,Oenococcus kitaharae,O. kitaharae
cluster 89,Lactobacillus malefermentans,L. malefermentans
cluster 34,Lactobacillus versmoldensis,L. versmoldensis
cluster 42,Lactobacillus suebicus,L. suebicus
cluster 58,Lactobacillus rossiae,L. rossiae
cluster 27,Lactobacillus pasteurii,L. pasteurii
cluster 93,Lactobacillus gigeriorum,L. gigeriorum
cluster 81,Lactobacillus hominis,L. hominis
cluster 189,Oenococcus oeni,O. oeni
cluster 49,Lactobacillus equicursoris,L. equicursoris
cluster 120,Lactobacillus pobuzihii,L. pobuzihii
cluster 30,Lactobacillus otakiensis,L. otakiensis
cluster 70,Lactobacillus psittaci,L. psittaci
cluster 128,Lactobacillus harbinensis,L. harbinensis
cluster 59,Lactobacillus saerimneri,L. saerimneri
cluster 117,Lactobacillus ceti,L. ceti
cluster 101,Weissella halotolerans,W. halotolerans
cluster 8,Lactobacillus shenzhenensis,L. shenzhenensis
cluster 193,Lactobacillus acidophilus,L. acidophilus
cluster 237,Lactobacillus brevis,L. brevis
cluster 9,Lactobacillus fabifermentans,L. fabifermentans
cluster 98,Lactobacillus sucicola,L. sucicola
cluster 150,Lactobacillus gallinarum,L. gallinarum
cluster 88,Lactobacillus composti,L. composti
cluster 74,Lactobacillus farraginis,L. farraginis
cluster 55,Lactobacillus paralimentarius,L. paralimentarius
cluster 209,Lactobacillus kefiranofaciens,L. kefiranofaciens
cluster 43,Lactobacillus hamsteri,L. hamsteri
cluster 231,Lactobacillus sakei,L. sakei
cluster 39,Lactobacillus kitasatonis,L. kitasatonis
cluster 238,Lactobacillus casei,L. casei
cluster 38,Lactobacillus apodemi,L. apodemi
cluster 227,Lactobacillus fuchuensis,L. fuchuensis
cluster 124,Lactobacillus nodensis,L. nodensis
cluster 40,Lactobacillus hayakitensis,L. hayakitensis
cluster 71,Lactobacillus equi,L. equi
cluster 10,Weissella oryzae,W. oryzae
cluster 26,Lactobacillus oryzae,L. oryzae
cluster 13,Lactobacillus curieae,L. curieae
cluster 14,Lactobacillus heilongjiangensis,L. heilongjiangensis
cluster 111,Lactobacillus hokkaidonensis,L. hokkaidonensis
cluster 15,Lactobacillus wasatchensis,L. wasatchensis
cluster 197,Lactobacillus kullabergensis,L. kullabergensis
cluster 195,Lactobacillus helsingborgensis,L. helsingborgensis
cluster 18,Lactobacillus mellifer,L. mellifer
cluster 198,Lactobacillus melliventris,L. melliventris
cluster 17,Lactobacillus kimbladii,L. kimbladii
cluster 16,Lactobacillus mellis,L. mellis
cluster 215,Lactobacillus ruminis,L. ruminis
cluster 19,Lactobacillus herbarum,L. herbarum
cluster 76,Lactobacillus panis,L. panis
cluster 20,Fructobacillus ficulneus,F. ficulneus
cluster 210,Fructobacillus pseudoficulneus,F. pseudoficulneus
cluster 21,Fructobacillus tropaeoli,F. tropaeoli
cluster 24,Lactobacillus gorillae,L. gorillae
cluster 136,Lactobacillus kunkeei,L. kunkeei
cluster 23,Lactobacillus apinorum,L. apinorum
cluster 130,Lactobacillus paracollinoides,L. paracollinoides
cluster 220,Lactobacillus lindneri,L. lindneri
cluster 141,Lactobacillus kimchii,L. kimchii
cluster 94,Lactobacillus similis,L. similis
cluster 83,Lactobacillus sharpeae,L. sharpeae
cluster 29,Lactobacillus kisonensis,L. kisonensis
cluster 122,Lactobacillus equigenerosi,L. equigenerosi
cluster 75,Lactobacillus parafarraginis,L. parafarraginis
cluster 47,Lactobacillus nasuensis,L. nasuensis
cluster 96,Lactobacillus camelliae,L. camelliae
cluster 123,Lactobacillus pantheris,L. pantheris
cluster 84,Lactobacillus rapi,L. rapi
cluster 143,Lactobacillus silagei,L. silagei
cluster 52,Lactobacillus odoratitofui,L. odoratitofui
cluster 82,Lactobacillus thailandensis,L. thailandensis
cluster 126,Lactobacillus collinoides,L. collinoides
cluster 92,Lactobacillus senioris,L. senioris
