	GCA_000176995.1	GCA_001046795.1	GCA_002025085.1	GCA_002311195.1	GCA_002406765.1	GCA_002418095.1	GCA_003045645.1	GCA_003045685.1	GCA_003072625.1	GCA_003433375.1	GCA_003535895.1	GCA_003666485.1	GCA_900088455.1	GCF_000014385.1	GCF_000014505.1	GCF_000091765.1	GCF_000092505.1	GCF_000146325.1	GCF_000159195.1	GCF_000159335.1	GCF_000159375.2	GCF_000159395.1	GCF_000159415.1	GCF_000159435.1	GCF_000160575.1	GCF_000160835.1	GCF_000160875.1	GCF_000161935.1	GCF_000162395.1	GCF_000165675.1	GCF_000165775.1	GCF_000166715.1	GCF_000178475.1	GCF_000179875.1	GCF_000180015.1	GCF_000182855.2	GCF_000193635.1	GCF_000211375.1	GCF_000219805.1	GCF_000235705.1	GCF_000237995.1	GCF_000241055.1	GCF_000242275.1	GCF_000247775.1	GCF_000248095.2	GCF_000260395.1	GCF_000260775.1	GCF_000271445.1	GCF_000277855.1	GCF_000296855.1	GCF_000297025.1	GCF_000300135.1	GCF_000304715.1	GCF_000312405.1	GCF_000364205.1	GCF_000389675.2	GCF_000415925.1	GCF_000420365.1	GCF_000423245.1	GCF_000423265.1	GCF_000425905.1	GCF_000469325.1	GCF_000498955.1	GCF_000504525.1	GCF_000686465.1	GCF_000691805.1	GCF_000715455.1	GCF_000740055.1	GCF_000741865.1	GCF_000750515.1	GCF_000761135.1	GCF_000785105.1	GCF_000814185.1	GCF_000814735.1	GCF_000829395.1	GCF_000831645.1	GCF_000876205.1	GCF_000962875.1	GCF_000965255.1	GCF_000967245.1	GCF_000970755.1	GCF_000970795.1	GCF_001012665.1	GCF_001027985.1	GCF_001039045.1	GCF_001047075.2	GCF_001047095.1	GCF_001047135.1	GCF_001050435.1	GCF_001050475.1	GCF_001190005.1	GCF_001281175.1	GCF_001293735.1	GCF_001308205.1	GCF_001433765.1	GCF_001433815.1	GCF_001433995.1	GCF_001434055.1	GCF_001434115.1	GCF_001434195.1	GCF_001434225.1	GCF_001434255.1	GCF_001434275.1	GCF_001434295.1	GCF_001434315.1	GCF_001434335.1	GCF_001434395.1	GCF_001434405.1	GCF_001434435.1	GCF_001434455.1	GCF_001434515.1	GCF_001434535.1	GCF_001434555.1	GCF_001434575.1	GCF_001434665.1	GCF_001434695.1	GCF_001434705.1	GCF_001434745.1	GCF_001434775.1	GCF_001434785.1	GCF_001434815.1	GCF_001434835.1	GCF_001434845.1	GCF_001434895.1	GCF_001434915.1	GCF_001434935.1	GCF_001434975.1	GCF_001434985.1	GCF_001435035.1	GCF_001435115.1	GCF_001435155.1	GCF_001435195.1	GCF_001435235.1	GCF_001435245.1	GCF_001435325.1	GCF_001435345.1	GCF_001435375.1	GCF_001435395.1	GCF_001435445.1	GCF_001435505.1	GCF_001435555.1	GCF_001435575.1	GCF_001435585.1	GCF_001435755.1	GCF_001435815.1	GCF_001435835.1	GCF_001435875.1	GCF_001435895.1	GCF_001435975.1	GCF_001435995.1	GCF_001436035.1	GCF_001436045.1	GCF_001436095.1	GCF_001436115.1	GCF_001436125.1	GCF_001436135.1	GCF_001436225.1	GCF_001436255.1	GCF_001436275.1	GCF_001436295.1	GCF_001436375.1	GCF_001436415.1	GCF_001436505.1	GCF_001436535.1	GCF_001436555.1	GCF_001436595.1	GCF_001436605.1	GCF_001436615.1	GCF_001436675.1	GCF_001436695.1	GCF_001436705.1	GCF_001436735.1	GCF_001436755.1	GCF_001436775.1	GCF_001436805.1	GCF_001436895.1	GCF_001437055.1	GCF_001437075.1	GCF_001437125.1	GCF_001437335.1	GCF_001437355.1	GCF_001437405.1	GCF_001437425.1	GCF_001437435.1	GCF_001437465.1	GCF_001437605.1	GCF_001438655.1	GCF_001438685.1	GCF_001438705.1	GCF_001438805.1	GCF_001438845.1	GCF_001636145.1	GCF_001640785.1	GCF_001652045.1	GCF_001663675.1	GCF_001761545.1	GCF_001951175.1	GCF_001971585.1	GCF_002117325.1	GCF_002157585.1	GCF_002217925.1	GCF_002217945.1	GCF_002217965.1	GCF_002240375.1	GCF_002276525.1	GCF_002583405.1	GCF_002762335.1	GCF_002872255.1	GCF_002911475.1	GCF_002916915.1	GCF_002916935.1	GCF_002940945.1	GCF_002970915.1	GCF_002970935.1	GCF_002982135.1	GCF_002993965.1	GCF_002994005.1	GCF_003096575.1	GCF_003124125.1	GCF_003151025.1	GCF_003202825.1	GCF_003363255.1	GCF_003423665.1	GCF_003515805.1	GCF_003573575.1	GCF_003606365.1	GCF_003627035.1	GCF_003692755.1	GCF_003692845.1	GCF_900094835.1	GCF_900095015.1	GCF_900108455.1	GCF_900110005.1	GCF_900112405.1	GCF_900156885.1	GCF_900215775.1	GCF_900240275.1	GCF_900258455.1	GCF_900411375.1
OG0010301	ADDU01000011.1_17																																																																																																																																																																																																																																														
OG0010302	ADDU01000011.1_36																																																																																																																																																																																																																																														
OG0010303	ADDU01000011.1_38																																																																																																																																																																																																																																														
OG0010304	ADDU01000011.1_39																																																																																																																																																																																																																																														
OG0010305	ADDU01000011.1_40																																																																																																																																																																																																																																														
OG0010306	ADDU01000009.1_89																																																																																																																																																																																																																																														
OG0010307	ADDU01000008.1_127																																																																																																																																																																																																																																														
OG0010308	ADDU01000002.1_112																																																																																																																																																																																																																																														
OG0010309	ADDU01000002.1_360																																																																																																																																																																																																																																														
OG0010310	ADDU01000002.1_530																																																																																																																																																																																																																																														
OG0010311		CP011952.1_156																																																																																																																																																																																																																																													
OG0010312		CP011952.1_631																																																																																																																																																																																																																																													
OG0010313		CP011952.1_1143																																																																																																																																																																																																																																													
OG0010314		CP011952.1_1177																																																																																																																																																																																																																																													
OG0010315		CP011952.1_1178																																																																																																																																																																																																																																													
OG0010316		CP011952.1_1233																																																																																																																																																																																																																																													
OG0010317		CP011952.1_1575																																																																																																																																																																																																																																													
OG0010318		CP011952.1_1593																																																																																																																																																																																																																																													
OG0010319		CP011952.1_1603																																																																																																																																																																																																																																													
OG0010320		CP011952.1_2317																																																																																																																																																																																																																																													
OG0010321			CP020016.1_30																																																																																																																																																																																																																																												
OG0010322			CP020016.1_31																																																																																																																																																																																																																																												
OG0010323			CP020016.1_32																																																																																																																																																																																																																																												
OG0010324			CP020016.1_33																																																																																																																																																																																																																																												
OG0010325			CP020016.1_50																																																																																																																																																																																																																																												
OG0010326			CP020016.1_65																																																																																																																																																																																																																																												
OG0010327			CP020016.1_71																																																																																																																																																																																																																																												
OG0010328			CP020016.1_85																																																																																																																																																																																																																																												
OG0010329			CP020016.1_100																																																																																																																																																																																																																																												
OG0010330			CP020016.1_121																																																																																																																																																																																																																																												
OG0010331			CP020016.1_167																																																																																																																																																																																																																																												
OG0010332			CP020016.1_180																																																																																																																																																																																																																																												
OG0010333			CP020016.1_206																																																																																																																																																																																																																																												
OG0010334			CP020016.1_337																																																																																																																																																																																																																																												
OG0010335			CP020016.1_438																																																																																																																																																																																																																																												
OG0010336			CP020016.1_453																																																																																																																																																																																																																																												
OG0010337			CP020016.1_513																																																																																																																																																																																																																																												
OG0010338			CP020016.1_558																																																																																																																																																																																																																																												
OG0010339			CP020016.1_566																																																																																																																																																																																																																																												
OG0010340			CP020016.1_568																																																																																																																																																																																																																																												
OG0010341			CP020016.1_570																																																																																																																																																																																																																																												
OG0010342			CP020016.1_571																																																																																																																																																																																																																																												
OG0010343			CP020016.1_577																																																																																																																																																																																																																																												
OG0010344			CP020016.1_579																																																																																																																																																																																																																																												
OG0010345			CP020016.1_583																																																																																																																																																																																																																																												
OG0010346			CP020016.1_584																																																																																																																																																																																																																																												
OG0010347			CP020016.1_634																																																																																																																																																																																																																																												
OG0010348			CP020016.1_637																																																																																																																																																																																																																																												
OG0010349			CP020016.1_725																																																																																																																																																																																																																																												
OG0010350			CP020016.1_788																																																																																																																																																																																																																																												
OG0010351			CP020016.1_931																																																																																																																																																																																																																																												
OG0010352			CP020016.1_972																																																																																																																																																																																																																																												
OG0010353			CP020016.1_973																																																																																																																																																																																																																																												
OG0010354			CP020016.1_1013																																																																																																																																																																																																																																												
OG0010355			CP020016.1_1057																																																																																																																																																																																																																																												
OG0010356			CP020016.1_1073																																																																																																																																																																																																																																												
OG0010357			CP020016.1_1089																																																																																																																																																																																																																																												
OG0010358			CP020016.1_1171																																																																																																																																																																																																																																												
OG0010359			CP020016.1_1193																																																																																																																																																																																																																																												
OG0010360			CP020016.1_1225																																																																																																																																																																																																																																												
OG0010361			CP020016.1_1227																																																																																																																																																																																																																																												
OG0010362			CP020016.1_1260																																																																																																																																																																																																																																												
OG0010363			CP020016.1_1278																																																																																																																																																																																																																																												
OG0010364			CP020016.1_1342																																																																																																																																																																																																																																												
OG0010365			CP020016.1_1347																																																																																																																																																																																																																																												
OG0010366			CP020016.1_1404																																																																																																																																																																																																																																												
OG0010367			CP020016.1_1409																																																																																																																																																																																																																																												
OG0010368			CP020016.1_1412																																																																																																																																																																																																																																												
OG0010369			CP020016.1_1414																																																																																																																																																																																																																																												
OG0010370			CP020016.1_1415																																																																																																																																																																																																																																												
OG0010371			CP020016.1_1450																																																																																																																																																																																																																																												
OG0010372			CP020016.1_1529																																																																																																																																																																																																																																												
OG0010373			CP020016.1_1551																																																																																																																																																																																																																																												
OG0010374			CP020016.1_1733																																																																																																																																																																																																																																												
OG0010375			CP020016.1_1735																																																																																																																																																																																																																																												
OG0010376			CP020016.1_1805																																																																																																																																																																																																																																												
OG0010377			CP020016.1_1809																																																																																																																																																																																																																																												
